Name,Description,Link,Quantity,Unit Price,Total Price,Running Total
LUJINXUN 30mmIDx50mmL\,Band Heater,https://www.aliexpress.us/item/3256808522427468.html?spm=a2g0o.detail.0.0.792467fdPLrc6P&mp=1&pdp_npi=5%40dis%21USD%21USD%2019.87%21USD%2016.09%21%21USD%2016.09%21%21%21%402101d6ff17653220409631998eb310%2112000046354970299%21ct%21US%216874649993%21%211%210&gatewayAdapt=glo2usa,1,$16.09,$16.09,$16.09
460mm x 25.4mm HSS Drill Bit,Auger Bit ,https://www.aliexpress.com/item/3256809045870858.html?spm=a2g0o.cart.0.0.683838da2cZMRF&mp=1&pdp_npi=5%40dis%21USD%21USD%2026.58%21USD%2013.29%21%21USD%2013.29%21%21%21%402101d6ff17653220315061766eb310%2112000048411077208%21ct%21US%216874649993%21%211%210,1,$13.29,$13.29,$29.38
"Mild Steel Tubing - 1 1/4"" O.D. - .120"" wall","Steel Pipe (Make sure to put 2 as the cut length, price per foot)",https://www.appliedracing.com/tubing-and-plate/4130-chromoly---erw-mild-steel---dom-tubing/33---mild-steel-tubing---1-1-4-od---120-wall.html,2,$4.25,$8.50,$37.88
MAX6675,K Thermocouple + Amplifier,https://www.aliexpress.com/ssr/300000512/BundleDeals2?spm=a2g0o.productlist.main.1.52eeVwpbVwpbTE&productIds=1902975189:65582731281&pha_manifest=ssr&_immersiveMode=true&disableNav=YES&sourceName=SEARCHProduct&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1902975189%7C_p_origin_prod%3A&pvid=862a60d8-d049-479e-81ed-58b99bb7c884,1,$3.14,$3.14,$41.02
Nema 17 Pancake,Stepper Motor,https://www.aliexpress.com/item/3256803688622110.html?spm=a2g0o.cart.0.0.683838da2cZMRF&mp=1&pdp_npi=5%40dis%21USD%21USD%205.64%21USD%205.41%21%21USD%205.41%21%21%21%402101d6ff17653220315061766eb310%2112000036219123370%21ct%21US%216874649993%21%212%210,1,$5.41,$5.41,$46.43
9025 12V Cooling Fan,Cooling Fan,https://www.aliexpress.com/item/3256806120222119.html?spm=a2g0o.cart.0.0.683838da2cZMRF&mp=1&pdp_npi=5%40dis%21USD%21USD%203.82%21USD%203.82%21%21USD%203.71%21%21%21%402101d6ff17653220269651658eb310%2112000039933888013%21ct%21US%216874649993%21%213%210,4,$3.82,$15.28,$61.71
A4988,Stepper Motor Driver,https://www.aliexpress.com/ssr/300000512/BundleDeals2?spm=a2g0o.productlist.main.3.6c7e3192K7BfqV&productIds=1005005281739306:12000040072246972&pha_manifest=ssr&_immersiveMode=true&disableNav=YES&sourceName=SEARCHProduct&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005005281739306%7C_p_origin_prod%3A&pvid=5cc06344-c96d-4dd0-b193-ce4921205bfa,2,$2.71,$5.42,$67.13
Refrigator Neodymium Magnets,20x1mm Magnet,https://www.aliexpress.com/item/3256809781217883.html?spm=a2g0o.cart.0.0.683838da2cZMRF&mp=1&pdp_npi=5%40dis%21USD%21USD%205.48%21USD%202.63%21%21USD%202.63%21%21%21%402101d6ff17653220269651658eb310%2112000050934188812%21ct%21US%216874649993%21%211%210,1,$2.63,$2.63,$69.76
SS49E,Hall Effect Sensor,https://www.aliexpress.com/item/3256808273062702.html?spm=a2g0o.cart.0.0.683838da2cZMRF&mp=1&pdp_npi=5%40dis%21USD%21USD%201.59%21USD%201.59%21%21USD%201.59%21%21%21%402101d6ff17653220269651658eb310%2112000045225679022%21ct%21US%216874649993%21%211%210,1,$1.59,$1.59,$71.35
Deep Groove Ball Bearing,15ODx6IDx5Wmm Bearing,https://jlcmc.com/product/b/C15/BR8364/deep-groove-ball-bearing-double-side-with-dust-cover?k=696ZZ&productModelNumber=696ZZ,4,$0.12,$0.47,$71.82
Hex Nut,"1/2""-13",https://www.menards.com/main/hardware/fasteners-connectors/nuts/hex-jam-nuts/grip-fast-reg-hot-dipped-galvanized-grade-2-coarse-thread-hex-nuts/2325631/p-1444421528907-c-8915.htm,1,$2.19,$2.19,$74.01
Bolt,"1/2""-13 4-1/2""",https://www.menards.com/main/hardware/fasteners-connectors/bolts/cap-screws-hex-bolts/grip-fast-reg-1-2-13-x-4-1-2-grade-2-galvanized-steel-hex-bolt-2-count/g2ls12412g-2sb/p-1508954976411-c-8730.htm,1,$3.99,$3.99,$78.00
Arduino Uno R3,Microcontroller,https://www.aliexpress.us/item/3256806985353444.html?spm=a2g0o.productlist.main.1.3246NKdlNKdlL7&algo_pvid=09bcdf45-22c7-43ef-a2f4-037c78f563ce&algo_exp_id=09bcdf45-22c7-43ef-a2f4-037c78f563ce-0&pdp_ext_f=%7B%22order%22%3A%22283%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%215.12%210.99%21%21%2136.03%217.01%21%402103212517653296223342597e503a%2112000041174600906%21sea%21US%216874649993%21ABX%211%210%21n_tag%3A-29910%3Bd%3A171bc56b%3Bm03_new_user%3A-29895%3BpisId%3A5000000187461913&curPageLogUid=Nm4N0lD3CbWR&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005007171668196%7C_p_origin_prod%3A,1,$5.12,$5.12,$83.12
Solid State Relay,3-32VDC - 24-380VAC 10A SSR,https://www.aliexpress.com/item/3256806596104544.html?spm=a2g0o.cart.0.0.5c1038da1SJwI5&mp=1&pdp_npi=5%40dis%21USD%21USD%204.21%21USD%204.21%21%21USD%204.21%21%21%21%402101e2b017654181016302805e9717%2112000038280913776%21ct%21US%216874649993%21%211%210,1,$4.21,$4.21,$87.33
Nema 17,Stepper Motor,https://www.aliexpress.com/ssr/300000512/BundleDeals2?spm=a2g0o.productlist.main.3.6c7e3192K7BfqV&productIds=1005005281739306:12000040072246972&pha_manifest=ssr&_immersiveMode=true&disableNav=YES&sourceName=SEARCHProduct&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005005281739306%7C_p_origin_prod%3A&pvid=5cc06344-c96d-4dd0-b193-ce4921205bfa,1,$5.72,$5.72,$93.05
Ball Bearing 608,Ball Bearing,https://jlcmc.com/product/b/C15/BR8362/deep-groove-ball-bearing-open-type,8,$0.11,$0.90,$93.94
Brass Nozzle,2mm M6,https://www.aliexpress.us/item/3256808717405097.html?spm=a2g0o.cart.0.0.131f38daKy6OPp&mp=1&pdp_npi=6%40dis%21USD%21USD%203.54%21USD%201.73%21%21USD%201.73%21%21%21%4021033d9d17703313429882791ef349%2112000047137059074%21ct%21US%216874649993%21%211%210%21&gatewayAdapt=glo2usa,1,$3.54,$3.54,$97.48